id,composition_id,o.sxx,o.syy,o.szz,o.sxy,o.syz,o.szx
3638,Al1,-3.23427,-3.23427,-3.23427,0.0,0.0,0.0
4363,Al1 Ti1,-1.21962,-1.21962,5.16457,0.0,0.0,0.0
4664,Al1 Dy1,-0.06068,-0.06068,-0.06068,0.0,0.0,0.0
5039,Al1 Ir1,-3.22135,-3.22135,-3.22135,0.0,0.0,0.0
5216,Al1 Tb1,0.69499,0.69499,0.69499,0.0,0.0,0.0
5267,Al1 Mn1,13.75706,13.75706,-5.2673,0.0,0.0,0.0
5317,Al1 Nd1,0.4381,0.4381,0.4381,0.0,0.0,0.0
5368,Al1 Bi1,3.95891,3.95891,3.95891,0.0,0.0,0.0
5390,Al1 P1,2.2481,2.2481,2.2481,0.0,0.0,0.0
5418,Al1 Ru1,-3.27472,-3.27472,-3.27472,0.0,0.0,0.0
5449,Al1 Ti1,-0.98914,-0.98914,4.53401,0.0,0.0,0.0
5509,Al1 Ni1,5.53786,5.53786,5.53786,0.0,0.0,0.0
5551,Al1 O1,38.62793,38.62793,38.62793,0.0,0.0,0.0
5789,Al1 Os1,4.44547,4.44547,4.44547,0.0,0.0,0.0
5792,Al1 Pd1,16.11766,16.11766,16.11766,0.0,0.0,0.0
5873,Al1 Sm1,-0.79725,-0.79725,-0.79725,0.0,0.0,0.0
6030,Al1 Pr1,-0.13357,-0.13357,-0.13357,0.0,0.0,0.0
6032,Al1 Pt1,-4.04188,-4.04188,-4.04188,0.0,0.0,0.0
6239,Al1 Sc1,4.23019,4.23019,4.23019,0.0,0.0,0.0
6242,Al1 Rh1,5.812,5.812,5.812,0.0,0.0,0.0
6262,Al1 Sb1,0.54137,0.54137,0.54137,0.0,0.0,0.0
6332,Al1 Re1,5.42949,5.42949,5.42949,0.0,0.0,0.0
6582,Al1 Mn1,13.63635,13.63635,-5.28823,0.0,0.0,0.0
6649,Al1 Gd1,0.14222,0.14222,0.14222,0.0,0.0,0.0
6660,Al1 As1,1.16264,1.16264,1.16264,0.0,0.0,0.0
6710,Al1 Y1,2.479,2.479,2.479,0.0,0.0,0.0
6808,Al1 Sn1,7.12116,7.139,-2.00445,0.0,0.0,0.0
7041,Al1 Au1,2.38383,2.38383,2.38383,0.0,0.0,0.0
7257,Al1 Ce1,0.35955,0.35955,0.35955,0.0,0.0,0.0
7262,Al1 Cr2,-3.13919,-3.13919,0.24668,0.0,0.0,0.0
7320,Al1 Fe1,10.81082,10.81082,10.81082,0.0,0.0,0.0
7566,Al1 B2,13.53526,13.53442,12.0449,-0.00073,0.0,0.0
7698,Al1 Tc2,6.00886,6.00886,11.45744,0.0,0.0,0.0
7707,Al2 Cu1,54.20244,54.20244,65.58456,0.0,0.0,0.0
7931,Al2 Os1,2.98675,2.98675,3.933,0.0,0.0,0.0
7991,Al2 Ru1,-1.78949,-1.78949,-0.42975,0.0,0.0,0.0
8020,Al2 Th1,0.53144,0.52544,-1.19577,-0.0052,0.0,0.0
8163,Al2 Pt1,2.91897,2.91897,2.91897,0.0,0.0,0.0
8193,Al1 Ge1 Li1,0.71731,0.71731,0.71731,0.0,0.0,0.0
8281,Al1 Ca1 Si1,2.66932,2.64889,2.73657,0.0,0.0,0.0
8306,Al1 Re2,7.54746,7.54746,2.85801,0.0,0.0,0.0
8395,Al2 Pd1,8.27593,8.27593,8.27593,0.0,0.0,0.0
8445,Al1 Si1 Sr1,0.12104,0.30535,0.85723,0.0,0.0,0.0
8543,Al1 Ba1 Si1,2.73372,2.94493,2.36175,0.0,0.0,0.0
8545,Al1 B1 Be1,4.57348,4.57348,4.57348,0.0,0.0,0.0
8563,Al1 Ge1 Sr1,1.06942,1.13989,1.81761,0.0,0.0,0.0
8588,Al2 O1,23.43789,23.43789,23.43789,0.0,0.0,0.0
8597,Al2 Au1,9.25691,9.25691,9.25691,0.0,0.0,0.0
8619,Al1 Ba1 Ge1,-2.21568,-2.20442,-0.07613,0.0,0.0,0.0
8704,Al1 Au2,9.55092,9.55092,11.68699,0.0,0.0,0.0
8950,Al1 Cu3,29.13149,29.13149,29.13149,0.0,0.0,0.0
8976,Al1 Li2 Pd1,17.55483,17.55483,17.55483,0.0,0.0,0.0
9151,Al1 Cr1 Cu2,22.31065,22.31065,22.31065,0.0,0.0,0.0
9154,Al2 Li1 Pd1,12.4354,12.4354,12.4354,0.0,0.0,0.0
9176,Al1 Ni3,21.87477,21.87477,21.87477,0.0,0.0,0.0
9181,Al1 Li2 Pt1,11.00869,11.00869,11.00869,0.0,0.0,0.0
9190,Al1 Li2 Rh1,7.84272,7.84272,7.84272,0.0,0.0,0.0
9429,Al1 Cr1 Ni2,30.59914,30.59914,30.59914,0.0,0.0,0.0
9444,Al1 Cu1 O2,38.54992,39.69695,39.74589,-0.30624,-0.04609,-0.18419
9446,Al1 Cu2 Hf1,19.13501,19.13501,19.13501,0.0,0.0,0.0
9457,Al1 Cu2 Mn1,17.13108,17.13108,17.13108,0.0,0.0,0.0
9469,Al1 Cu2 Sc1,19.51743,19.51743,19.51743,0.0,0.0,0.0
9477,Al1 Cu2 Ti1,14.85255,14.85255,14.85255,0.0,0.0,0.0
9493,Al1 Cu2 Zr1,16.39828,16.39828,16.39828,0.0,0.0,0.0
9495,Al2 Li1 Pt1,7.63635,7.63635,7.63635,0.0,0.0,0.0
9498,Al2 Li1 Rh1,8.34348,8.34348,8.34348,0.0,0.0,0.0
9509,Al3 Dy1,0.54918,0.54918,0.54918,0.0,0.0,0.0
9520,Al1 Nb1 Ru2,3.23919,3.23919,3.23919,0.0,0.0,0.0
9545,Al3 Zr1,1.1706,1.1706,1.1706,0.0,0.0,0.0
9922,Al1 Ce3,0.76462,0.76462,0.76462,0.0,0.0,0.0
9925,Al1 Li1,11.92283,11.92283,11.92283,0.0,0.0,0.0
9927,Al3 Ho1,0.45417,0.45417,0.45417,0.0,0.0,0.0
9991,Al3 Li1,7.8028,7.8028,7.8028,0.0,0.0,0.0
10033,Al1 Cr1 Fe2,-3.07205,-3.07205,-3.07205,0.0,0.0,0.0
10069,Ag2 Al1 Li1,12.21163,12.21163,12.21163,0.0,0.0,0.0
10075,Al1 Cu1 Pt2,4.98956,4.98956,4.92921,0.0,0.0,0.0
10081,Al3 Ti1,-0.87111,-0.87111,1.33289,0.0,0.0,0.0
10183,Al3 Dy1,0.95884,0.95884,0.85162,0.0,0.0,0.0
10191,Al3 Hf1,2.14205,2.14205,3.55839,0.0,0.0,0.0
10197,Al1 Fe3,17.57321,17.57321,17.57321,0.0,0.0,0.0
10198,Al1 Fe2 Mn1,21.36866,21.36866,21.36866,0.0,0.0,0.0
10234,Al1 Fe2 Ti1,1.13373,1.13373,1.13373,0.0,0.0,0.0
10242,Al3 Lu1,-0.11022,-0.11022,-0.11022,0.0,0.0,0.0
10274,Al1 Pt3,9.8353,9.8353,9.8353,0.0,0.0,0.0
10275,Al3 Sc1,3.95007,3.95007,3.95007,0.0,0.0,0.0
10312,Al1 Fe2 Mo1,9.87988,9.87988,9.87988,0.0,0.0,0.0
10355,Al1 Hf1 Pd2,18.29467,18.29467,18.29467,0.0,0.0,0.0
10409,Al3 V1,0.54899,0.54899,0.54899,0.0,0.0,0.0
10421,Al3 Np1,0.10658,0.10658,0.10658,0.0,0.0,0.0
10447,Al1 Hf1 Ni2,0.43999,0.43999,0.43999,0.0,0.0,0.0
